Time,GPS_Long,GPS_Lat,GPS_Alt,SDn,SDe,SDu,GPS_Status,IMU_AngVelX,IMU_AngVelY,IMU_AngVelZ,IMU_LinearAccX,IMU_LinearAccY,IMU_LinearAccZ
rospy.Time[1638475950267682974],-65.07666008,44.95505432,8.595,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475950280821146], None, None, None, None, None, None, None,0.026764769,-0.049002164,0.031292143,-5.940014319,-1.18273562,7.108384729
rospy.Time[1638475950280949723], None, None, None, None, None, None, None,0.036618465,-0.035686359,0.039281626,-5.255272644,1.060631335,7.580042456
rospy.Time[1638475950283242213], None, None, None, None, None, None, None,-0.016644757,-0.00479369,-0.003062635,-5.59524928,2.070984436,7.565677246
rospy.Time[1638475950318626364], None, None, None, None, None, None, None,-0.058056912,0.003994742,-0.02942793,-6.193799695,0.761356128,7.043741284
rospy.Time[1638475950318659257], None, None, None, None, None, None, None,-0.056592173,-0.015845808,-0.027164243,-6.411672046,-1.28329209,7.082048511
rospy.Time[1638475950318692706], None, None, None, None, None, None, None,-0.001198422,-0.033156356,0.00479369,-6.131550452,-1.505952844,7.127538342
rospy.Time[1638475950318765221], None, None, None, None, None, None, None,0.031425301,-0.032224249,0.031158985,-5.686228943,-0.004788403,7.34062229
rospy.Time[1638475950329744044], None, None, None, None, None, None, None,0.010785802,-0.013049489,0.017710021,-5.798756421,1.309628308,7.503428003
rospy.Time[1638475950376942071], None, None, None, None, None, None, None,-0.03488741,-0.007590009,-0.009187906,-6.07169541,1.031900916,7.089231116
rospy.Time[1638475950377020424], None, None, None, None, None, None, None,-0.049534796,-0.016112125,-0.016378441,-6.052541797,-0.263362183,7.115567334
rospy.Time[1638475950377096395], None, None, None, None, None, None, None,-0.025433188,-0.024234766,-0.003328951,-6.062118604,-0.936132849,7.134720947
rospy.Time[1638475950377144310], None, None, None, None, None, None, None,0.00545948,-0.023835292,0.017976337,-5.916072302,-0.361524451,7.199364392
rospy.Time[1638475950380630248], None, None, None, None, None, None, None,0.007723167,-0.011984225,0.019707392,-5.803544824,0.600944617,7.371746912
rospy.Time[1638475950387232377], None, None, None, None, None, None, None,-0.012783173,-0.017177389,0.003728426,-6.148309863,0.756567725,7.192181787
rospy.Time[1638475950421446844], None, None, None, None, None, None, None,-0.034754252,-0.022503711,-0.010785802,-5.99986936,0.141257898,7.163451367
rospy.Time[1638475950422632520], None, None, None, None, None, None, None,-0.031025827,-0.02050634,-0.004261058,-5.762843396,-0.347159241,7.28316145
rospy.Time[1638475950422956911], None, None, None, None, None, None, None,-0.009321064,-0.001864213,0.003595267,-5.930437512,-0.361524451,7.223306409
rospy.Time[1638475950427027132], None, None, None, None, None, None, None,-0.000133158,-0.006524745,0.016911073,-6.074089612,-0.035913025,7.158662964
rospy.Time[1638475950437199766], None, None, None, None, None, None, None,-0.007057377,-0.013848438,0.01091896,-6.210559106,0.186747729,7.165845569
rospy.Time[1638475950462674059],-65.07666014,44.95505434,8.602,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475950470018938], None, None, None, None, None, None, None,-0.011052119,-0.030226878,0.005326322,-6.078878015,0.359130249,7.189787585
rospy.Time[1638475950472496424], None, None, None, None, None, None, None,-0.024367924,-0.025566346,-0.002929477,-5.647921716,0.430956299,7.24006582
rospy.Time[1638475950472579812], None, None, None, None, None, None, None,-0.025965821,-0.007057377,-0.005326322,-5.724536169,0.124498486,7.374141113
rospy.Time[1638475950477289574], None, None, None, None, None, None, None,-0.021971079,-0.004660532,-0.001331581,-6.066907007,-0.342370837,7.26879624
rospy.Time[1638475950487068169], None, None, None, None, None, None, None,-0.00545948,-0.019041602,0.005992112,-6.246472131,-0.469263525,7.048529687
rospy.Time[1638475950520816737], None, None, None, None, None, None, None,-0.00066579,-0.032756881,0.012916331,-6.275202551,0.10055647,7.105990527
rospy.Time[1638475950522804626], None, None, None, None, None, None, None,-0.003728426,-0.033023198,0.011851067,-5.726930371,0.694318481,7.228094812
rospy.Time[1638475950522839067], None, None, None, None, None, None, None,-0.029161614,-0.017310547,-0.008122641,-5.348646509,0.574608398,7.685387329
rospy.Time[1638475950527303623], None, None, None, None, None, None, None,-0.027963191,0.007190535,-0.013315805,-5.887341882,-0.234631763,7.410054138
rospy.Time[1638475950537061842], None, None, None, None, None, None, None,-0.022903185,-0.012650015,-0.003062635,-6.615179187,-0.842758984,6.785167505
rospy.Time[1638475950569200364], None, None, None, None, None, None, None,0.001597897,-0.043276368,0.015313176,-6.524199524,-0.459686719,6.967126831
rospy.Time[1638475950569215420], None, None, None, None, None, None, None,0.006391587,-0.04514058,0.017843179,-5.619191296,0.557848987,7.36935271
rospy.Time[1638475950569280670], None, None, None, None, None, None, None,-0.015313176,-0.012650015,0.001331581,-5.102043738,1.012747302,7.651868506
rospy.Time[1638475950577032282], None, None, None, None, None, None, None,-0.040613207,0.017576863,-0.016511599,-5.837063647,0.44771571,7.410054138
rospy.Time[1638475950616037901], None, None, None, None, None, None, None,-0.035686359,-0.006391587,-0.010652644,-6.84981095,-0.746990918,6.80671532
rospy.Time[1638475950616902817], None, None, None, None, None, None, None,-0.002929477,-0.048203216,0.010386328,-6.380547424,-0.974440076,6.988674646
rospy.Time[1638475950618273960], None, None, None, None, None, None, None,0.010785802,-0.039814258,0.020373182,-5.497087012,0.095768066,7.489062793
rospy.Time[1638475950618898420], None, None, None, None, None, None, None,-0.004261058,-0.016112125,0.001464739,-5.312733484,1.012747302,7.599196069
rospy.Time[1638475950627129774], None, None, None, None, None, None, None,-0.039947416,0.012783173,-0.012916331,-5.822698438,0.653617053,7.357381702
rospy.Time[1638475950660353869],-65.07666013,44.95505434,8.601,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475950674790528], None, None, None, None, None, None, None,-0.043675842,-0.006924219,-0.018375812,-6.598419775,-0.600944617,6.959944226
rospy.Time[1638475950674823787], None, None, None, None, None, None, None,-0.003195793,-0.028362666,0.008388957,-6.426037256,-1.142034192,6.976703638
rospy.Time[1638475950674835691], None, None, None, None, None, None, None,0.017177389,-0.042211103,0.02463424,-5.741295581,-0.105344873,7.38371792
rospy.Time[1638475950674865819], None, None, None, None, None, None, None,0.003328951,-0.010386328,0.014247912,-5.46596239,1.130063184,7.558494641
rospy.Time[1638475950677014052], None, None, None, None, None, None, None,-0.029694246,0.003994742,-0.011584751,-5.691017346,1.089361755,7.36935271
rospy.Time[1638475950726823667], None, None, None, None, None, None, None,-0.04993427,0,-0.021172131,-6.308721375,-0.347159241,7.165845569
rospy.Time[1638475950726900164], None, None, None, None, None, None, None,-0.020639498,-0.025965821,0.000266316,-6.579266162,-1.335964526,6.921637
rospy.Time[1638475950728677255], None, None, None, None, None, None, None,0.014514228,-0.052863748,0.020772657,-5.908889697,-0.60573302,7.077260107
rospy.Time[1638475950730741531], None, None, None, None, None, None, None,0.013848438,-0.020639498,0.025433188,-5.497087012,0.833182178,7.582436658
rospy.Time[1638475950730961188], None, None, None, None, None, None, None,-0.015180018,0.002796319,-0.002663161,-5.679046338,1.285686292,7.400477332
rospy.Time[1638475950774985795], None, None, None, None, None, None, None,-0.049002164,-0.010120012,-0.022237395,-6.198588098,0.248996973,7.005434058
rospy.Time[1638475950776049950], None, None, None, None, None, None, None,-0.041811629,-0.019441076,-0.012783173,-6.445190869,-0.960074866,7.218518005
rospy.Time[1638475950780354938], None, None, None, None, None, None, None,0,-0.031158985,0.015978967,-5.975927344,-0.866701001,7.134720947
rospy.Time[1638475950781064612], None, None, None, None, None, None, None,0.017976337,-0.024234766,0.01917476,-5.540182642,0.201112939,7.424419348
rospy.Time[1638475950781421782], None, None, None, None, None, None, None,-0.005326322,-0.002263687,0.006125271,-5.841852051,0.981622681,7.39808313
rospy.Time[1638475950848501818], None, None, None, None, None, None, None,-0.032623723,-0.013448964,-0.011717909,-6.217741711,0.536301172,6.993463049
rospy.Time[1638475950848579450], None, None, None, None, None, None, None,-0.039547942,-0.025699505,-0.01091896,-6.074089612,-0.457292517,7.201758594
rospy.Time[1638475950858593087],-65.07666006,44.95505432,8.604,0.000256,0.000256,0.004096,2, None, None, None, None, None, None
rospy.Time[1638475950902051836], None, None, None, None, None, None, None,-0.012117383,-0.013981596,0.007590009,-5.95677373,-0.612915625,7.264007837
rospy.Time[1638475950902127504], None, None, None, None, None, None, None,0.00479369,-0.018242653,0.016911073,-5.762843396,-0.033518823,7.295132458
rospy.Time[1638475950902184138], None, None, None, None, None, None, None,-0.008388957,-0.008122641,0.005592638,-5.851428857,0.622492432,7.328651282
rospy.Time[1638475950902242768], None, None, None, None, None, None, None,-0.025433188,-0.009187906,0,-6.303932971,0.469263525,7.077260107
rospy.Time[1638475950902294972], None, None, None, None, None, None, None,-0.02809635,-0.023036343,-0.005992112,-6.011840369,-0.04309563,7.127538342
rospy.Time[1638475950902455832], None, None, None, None, None, None, None,-0.018908444,-0.023568976,0.002796319,-5.839457849,-0.256179578,7.390900525
rospy.Time[1638475950932757194], None, None, None, None, None, None, None,-0.009720538,-0.013315805,0.002263687,-5.861005664,-0.069431848,7.223306409
rospy.Time[1638475950932834166], None, None, None, None, None, None, None,-0.012916331,-0.018375812,0.006657903,-5.896918689,0.165199915,7.199364392
rospy.Time[1638475950932949868], None, None, None, None, None, None, None,-0.012783173,-0.012783173,0.006125271,-6.248866333,0.253785376,7.2113354
rospy.Time[1638475950933003812], None, None, None, None, None, None, None,-0.01850897,-0.043675842,0.001731055,-6.110002637,0.189141931,7.122749939
rospy.Time[1638475950933081557], None, None, None, None, None, None, None,-0.025699505,-0.022104237,-0.00066579,-5.602431885,0.12928689,7.307103467
rospy.Time[1638475950936050848], None, None, None, None, None, None, None,-0.019041602,0,-0.00545948,-5.674257935,-0.146046301,7.46990918
rospy.Time[1638475950936120283], None, None, None, None, None, None, None,-0.014780544,-0.007723167,0.002396845,-6.011840369,-0.272938989,7.18260498
rospy.Time[1638475950937390945], None, None, None, None, None, None, None,-0.008255799,-0.014247912,0.011318435,-6.433219861,-0.208295544,6.928819604
rospy.Time[1638475950982561804], None, None, None, None, None, None, None,-0.005858954,-0.037816887,0.007323693,-6.277596753,0.241814368,7.077260107
rospy.Time[1638475950982633335], None, None, None, None, None, None, None,-0.019973708,-0.040346891,0.001331581,-5.583278271,0.572214197,7.448361365
rospy.Time[1638475950984123813], None, None, None, None, None, None, None,-0.032091091,-0.005725796,-0.007989483,-5.317521887,0.253785376,7.635109094
